"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
40,50,0.07,0.5,143274.953784334,89944.4762200532,33.3333333333333,72361.5247079987
10,50,0.04,0.5,143090.29491644,93034.2291442184,33.3333333333333,40090.9445247257
20,35,0.09,0.5,142996.208147413,133258.881285675,83.3333333333333,68318.1854659915
35,50,0.01,1,142994.059608378,119542.690174404,66.6666666666667,51679.6358788585
30,30,0.06,1,142966.216300364,142975.3545444,83.3333333333333,48912.9682799434
20,60,0.08,0.25,142896.030072483,132889.198169726,50,54761.9556263459
40,50,0.07,0.25,142760.568447572,93976.0047272743,50,62603.9648843197
25,50,0.1,0.5,142760.324974554,87110.3240255424,33.3333333333333,49288.6392480204
25,30,0.08,0.75,142620.120300927,118691.252278236,83.3333333333333,74185.7282581616
25,30,0.06,0.75,141834.614058396,113137.93810834,66.6666666666667,46977.5038731098
35,30,0.08,0.75,141820.778279614,119216.685930408,66.6666666666667,73492.9273337007
25,50,0.05,0.25,141759.015667941,92394.0289887169,33.3333333333333,55933.0113301435
40,50,0.01,1,141644.575838226,98340.0309822493,50,29751.0750666708
20,50,0.09,1,141637.5228452,135386.611015433,66.6666666666667,30979.9123035383
35,30,0.1,0.25,141563.532561696,120342.488536861,50,52194.0307207251
25,30,0.09,1,141403.884137015,114479.04017028,50,53136.7894727505
20,35,0.09,1,141207.140730304,134493.216857106,83.3333333333333,65072.0805279732
15,35,0.06,0.5,140940.847006218,120925.566090726,66.6666666666667,73695.5288107085
25,30,0.1,1,140652.919090333,75836.2671871185,33.3333333333333,35102.4436594844
40,30,0.09,1,140603.073655584,127442.575960426,50,64945.4424736333
25,30,0.05,0.75,140468.590681473,142542.733524821,66.6666666666667,42883.7606657183
40,50,0.06,0.75,140388.162108187,78922.7236494816,33.3333333333333,52473.7702057182
10,30,0.09,1,140330.308515002,117731.652850735,66.6666666666667,43233.0602335358
25,50,0.07,1,139985.168070241,108838.744281269,50,74232.9371157074
20,30,0.05,1,139971.978210585,138931.110374173,50,60188.4093515634
15,60,0.07,0.75,139963.281486518,133341.98110363,66.6666666666667,62490.8034200511
25,30,0.07,1,139836.284971124,105042.138914541,50,69612.3658963323
35,30,0.08,0.5,139789.371759185,127669.064495792,66.6666666666667,63337.1918209887
15,50,0.02,1,139489.931570803,74225.2782725829,33.3333333333333,16817.9991177368
40,50,0.02,1,139382.213580808,94371.3651831042,33.3333333333333,32418.1851748514
40,30,0.1,0.5,139318.686908692,103865.445185603,50,39736.3181817293
15,30,0.09,1,139235.626150619,109361.86559884,66.6666666666667,53440.2474607182
40,50,0.04,0.5,138962.78715093,78376.219586848,33.3333333333333,52078.9119547748
20,35,0.07,0.25,138857.310681202,113251.689150106,50,35210.7735577512
15,60,0.07,1,138691.243217833,106857.04076913,50,63374.6997097588
20,35,0.1,0.25,138414.541938016,153709.281244496,66.6666666666667,61567.4924659144
20,50,0.04,0.75,138374.11988183,96483.3569253571,50,43624.0076482332
40,50,0.05,0.5,138310.460409071,96672.1522457624,50,65544.9049365973
15,60,0.06,0.75,138297.087719983,128266.059106985,66.6666666666667,63196.6150296423
40,35,0.1,0.25,138279.628889459,56292.8499088776,33.3333333333333,39042.1922321582
