"Period","RSI_n","Stoch_K_n","Stoch_D_n","Final_Equity"
"2016 - 2021 (COVID Crash)",10,10,5,284443.864364347
"2016 - 2021 (COVID Crash)",14,10,5,313806.398155837
"2016 - 2021 (COVID Crash)",16,10,5,167003.160311438
"2016 - 2021 (COVID Crash)",20,10,5,142474.193569708
"2016 - 2021 (COVID Crash)",10,14,5,298044.354812021
"2016 - 2021 (COVID Crash)",14,14,5,343923.648580117
"2016 - 2021 (COVID Crash)",16,14,5,149433.864862006
"2016 - 2021 (COVID Crash)",20,14,5,132084.275522366
"2016 - 2021 (COVID Crash)",10,5,7,298564.348165979
"2016 - 2021 (COVID Crash)",14,5,7,278151.944226794
"2016 - 2021 (COVID Crash)",16,5,7,185548.736412439
"2016 - 2021 (COVID Crash)",20,5,7,153939.296140366
"2016 - 2021 (COVID Crash)",10,7,7,311341.540034895
"2016 - 2021 (COVID Crash)",14,7,7,344458.724295459
"2016 - 2021 (COVID Crash)",16,7,7,146628.109156897
"2016 - 2021 (COVID Crash)",20,7,7,128450.05656271
"2016 - 2021 (COVID Crash)",10,10,7,254513.595665245
"2016 - 2021 (COVID Crash)",14,10,7,363680.880753126
"2016 - 2021 (COVID Crash)",16,10,7,155358.860480123
"2016 - 2021 (COVID Crash)",20,10,7,137264.352187004
"2016 - 2021 (COVID Crash)",10,14,7,329883.497944813
"2016 - 2021 (COVID Crash)",14,14,7,365990.611021447
"2016 - 2021 (COVID Crash)",16,14,7,144700.672564011
"2016 - 2021 (COVID Crash)",20,14,7,145280.648305311
"2020 - 2025 (Modern Era)",10,5,3,230565.335096016
"2020 - 2025 (Modern Era)",14,5,3,201281.983238158
"2020 - 2025 (Modern Era)",16,5,3,226388.454285908
"2020 - 2025 (Modern Era)",20,5,3,172424.60556591
"2020 - 2025 (Modern Era)",10,7,3,193985.9199544
"2020 - 2025 (Modern Era)",14,7,3,215509.153274651
"2020 - 2025 (Modern Era)",16,7,3,394047.723259959
"2020 - 2025 (Modern Era)",20,7,3,178086.084404373
"2020 - 2025 (Modern Era)",10,10,3,227125.327886977
"2020 - 2025 (Modern Era)",14,10,3,212774.148033028
"2020 - 2025 (Modern Era)",16,10,3,472214.875011034
"2020 - 2025 (Modern Era)",20,10,3,154517.795965986
"2020 - 2025 (Modern Era)",10,14,3,201475.47451529
"2020 - 2025 (Modern Era)",14,14,3,264619.502357283
"2020 - 2025 (Modern Era)",16,14,3,371934.947367544
"2020 - 2025 (Modern Era)",20,14,3,132258.215222888
"2020 - 2025 (Modern Era)",10,5,5,216676.317154255
"2020 - 2025 (Modern Era)",14,5,5,224123.808660202
"2020 - 2025 (Modern Era)",16,5,5,216124.507359471
"2020 - 2025 (Modern Era)",20,5,5,174577.911829581
"2020 - 2025 (Modern Era)",10,7,5,173201.693234863
"2020 - 2025 (Modern Era)",14,7,5,188641.195729709
"2020 - 2025 (Modern Era)",16,7,5,269087.208114381
"2020 - 2025 (Modern Era)",20,7,5,163665.654535546
"2020 - 2025 (Modern Era)",10,10,5,192405.711180739
"2020 - 2025 (Modern Era)",14,10,5,237979.57928402
"2020 - 2025 (Modern Era)",16,10,5,394153.067363043
"2020 - 2025 (Modern Era)",20,10,5,137516.507852979
"2020 - 2025 (Modern Era)",10,14,5,181334.819685822
"2020 - 2025 (Modern Era)",14,14,5,238387.714235959
"2020 - 2025 (Modern Era)",16,14,5,366740.383319869
"2020 - 2025 (Modern Era)",20,14,5,143969.473228579
"2020 - 2025 (Modern Era)",10,5,7,240005.670475535
"2020 - 2025 (Modern Era)",14,5,7,244218.731890159
"2020 - 2025 (Modern Era)",16,5,7,371120.650892754
"2020 - 2025 (Modern Era)",20,5,7,117578.885803523
"2020 - 2025 (Modern Era)",10,7,7,217469.404846778
