"Period","Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",15,50,0.04,0.25,516368.649853515
"2000 - 2005 (Dot-Com Bust)",20,50,0.04,0.25,597329.917255563
"2000 - 2005 (Dot-Com Bust)",25,50,0.04,0.25,389398.730289156
"2000 - 2005 (Dot-Com Bust)",30,50,0.04,0.25,158445.020096069
"2000 - 2005 (Dot-Com Bust)",35,50,0.04,0.25,236868.521026156
"2000 - 2005 (Dot-Com Bust)",40,50,0.04,0.25,319883.077292646
"2000 - 2005 (Dot-Com Bust)",10,55,0.04,0.25,62938.2886650313
"2000 - 2005 (Dot-Com Bust)",15,55,0.04,0.25,29103.7891728665
"2000 - 2005 (Dot-Com Bust)",20,55,0.04,0.25,35947.0610474489
"2000 - 2005 (Dot-Com Bust)",25,55,0.04,0.25,50198.2629974075
"2000 - 2005 (Dot-Com Bust)",30,55,0.04,0.25,49403.1790616938
"2000 - 2005 (Dot-Com Bust)",35,55,0.04,0.25,53248.0302096221
"2000 - 2005 (Dot-Com Bust)",40,55,0.04,0.25,57911.0112815708
"2000 - 2005 (Dot-Com Bust)",10,60,0.04,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",15,60,0.04,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",20,60,0.04,0.25,276237.778419241
"2000 - 2005 (Dot-Com Bust)",25,60,0.04,0.25,181097.106767399
"2000 - 2005 (Dot-Com Bust)",30,60,0.04,0.25,94136.5224724674
"2000 - 2005 (Dot-Com Bust)",35,60,0.04,0.25,86360.7115574086
"2000 - 2005 (Dot-Com Bust)",40,60,0.04,0.25,110800.196814009
"2000 - 2005 (Dot-Com Bust)",10,65,0.04,0.25,78314.1062328529
"2000 - 2005 (Dot-Com Bust)",15,65,0.04,0.25,44700.1354343188
"2000 - 2005 (Dot-Com Bust)",20,65,0.04,0.25,51503.0626464987
"2000 - 2005 (Dot-Com Bust)",25,65,0.04,0.25,74162.5649647713
"2000 - 2005 (Dot-Com Bust)",30,65,0.04,0.25,95349.0107881403
"2000 - 2005 (Dot-Com Bust)",35,65,0.04,0.25,101528.587135952
"2000 - 2005 (Dot-Com Bust)",40,65,0.04,0.25,107598.016984761
"2000 - 2005 (Dot-Com Bust)",10,70,0.04,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",15,70,0.04,0.25,97938.6351295543
"2000 - 2005 (Dot-Com Bust)",20,70,0.04,0.25,85870.240936749
"2000 - 2005 (Dot-Com Bust)",25,70,0.04,0.25,88959.1668323493
"2000 - 2005 (Dot-Com Bust)",30,70,0.04,0.25,108447.528820584
"2000 - 2005 (Dot-Com Bust)",35,70,0.04,0.25,102279.672985629
"2000 - 2005 (Dot-Com Bust)",40,70,0.04,0.25,107867.199761432
"2000 - 2005 (Dot-Com Bust)",10,30,0.05,0.25,155865.749140638
"2000 - 2005 (Dot-Com Bust)",15,30,0.05,0.25,134214.519873136
"2000 - 2005 (Dot-Com Bust)",20,30,0.05,0.25,174580.158787762
"2000 - 2005 (Dot-Com Bust)",25,30,0.05,0.25,186777.678949115
"2000 - 2005 (Dot-Com Bust)",30,30,0.05,0.25,156551.580504772
"2000 - 2005 (Dot-Com Bust)",35,30,0.05,0.25,297801.348481473
"2000 - 2005 (Dot-Com Bust)",40,30,0.05,0.25,136027.266345223
"2000 - 2005 (Dot-Com Bust)",10,35,0.05,0.25,57230.9910124226
"2000 - 2005 (Dot-Com Bust)",15,35,0.05,0.25,18065.9513403113
"2000 - 2005 (Dot-Com Bust)",20,35,0.05,0.25,20533.0765255058
"2000 - 2005 (Dot-Com Bust)",25,35,0.05,0.25,35909.6079810177
"2000 - 2005 (Dot-Com Bust)",30,35,0.05,0.25,97050.4023158419
"2000 - 2005 (Dot-Com Bust)",35,35,0.05,0.25,51197.1259784435
"2000 - 2005 (Dot-Com Bust)",40,35,0.05,0.25,64911.7601512356
"2000 - 2005 (Dot-Com Bust)",10,40,0.05,0.25,72068.8885067271
"2000 - 2005 (Dot-Com Bust)",15,40,0.05,0.25,98461.8012866341
"2000 - 2005 (Dot-Com Bust)",20,40,0.05,0.25,103588.06993355
"2000 - 2005 (Dot-Com Bust)",25,40,0.05,0.25,105015.100620618
"2000 - 2005 (Dot-Com Bust)",30,40,0.05,0.25,114791.615035283
"2000 - 2005 (Dot-Com Bust)",35,40,0.05,0.25,101119.609047794
"2000 - 2005 (Dot-Com Bust)",40,40,0.05,0.25,74967.4681360466
"2000 - 2005 (Dot-Com Bust)",10,45,0.05,0.25,80553.5722876989
"2000 - 2005 (Dot-Com Bust)",15,45,0.05,0.25,142158.602529393
"2000 - 2005 (Dot-Com Bust)",20,45,0.05,0.25,88999.8205546973
"2000 - 2005 (Dot-Com Bust)",25,45,0.05,0.25,112568.551550501
"2000 - 2005 (Dot-Com Bust)",30,45,0.05,0.25,128855.918619428
"2000 - 2005 (Dot-Com Bust)",35,45,0.05,0.25,106832.930759826
"2000 - 2005 (Dot-Com Bust)",40,45,0.05,0.25,61960.1188203185
"2000 - 2005 (Dot-Com Bust)",10,50,0.05,0.25,263088.42038089
"2000 - 2005 (Dot-Com Bust)",15,50,0.05,0.25,265757.15760082
"2000 - 2005 (Dot-Com Bust)",20,50,0.05,0.25,319120.75320085
"2000 - 2005 (Dot-Com Bust)",25,50,0.05,0.25,342224.180397899
"2000 - 2005 (Dot-Com Bust)",30,50,0.05,0.25,117098.875841011
